DISCIPLINA,CÓDIGO,TURMA,SALA,HORÁRIO
PACOTES ESTATISTICOS,EST008,TTP,2009,6a,07:30 - 11:05
ESTATISTICA MULTIVARIADA,EST011,TTTA,1011,3a,07:30 - 09:10,5a,07:30 - 09:10
ESTATISTICA PARA ENGENHARIA CIVIL,EST027,TA1,1015,3a,07:30 - 09:10,5a,07:30 - 09:10
ESTATISTICA PARA ENGENHARIA CIVIL,EST027,TA2,1019,3a,07:30 - 09:10,5a,07:30 - 09:10
PROBABILIDADE II,EST028,TB.,1017,2a,09:25 - 11:55,4a,09:25 - 11:55
PROBABILIDADE II,EST028,TB1,1024,2a,09:25 - 11:55,4a,09:25 - 11:55
ESTATISTICA E PROBABILIDADES,EST031,TA1,1026,3a,07:30 - 09:10,5a,07:30 - 09:10
ESTATISTICA E PROBABILIDADES,EST031,TA2,2054,3a,07:30 - 09:10,5a,07:30 - 09:10
ESTATISTICA E PROBABILIDADES,EST031,TB1,1011,3a,09:25 - 11:05,5a,09:25 - 11:05
ESTATISTICA E PROBABILIDADES,EST031,TB2,1017,3a,09:25 - 11:05,5a,09:25 - 11:05
ESTATISTICA E PROBABILIDADES,EST031,TB3,1024,3a,09:25 - 11:05,5a,09:25 - 11:05
ESTATISTICA E PROBABILIDADES,EST031,TE,2009,3a,19:00 - 20:40,5a,20:55 - 22:35
ESTATISTICA E PROBABILIDADES,EST031,TM1,1011,3a,13:00 - 14:40,5a,13:00 - 14:40
ESTATISTICA E PROBABILIDADES,EST031,TM2,1015,3a,13:00 - 14:40,5a,13:00 - 14:40
ESTATISTICA E PROBABILIDADES,EST031,TW,CAD1 - 312,2a,19:00 - 20:40,4a,19:00 - 20:40
PROBABILIDADE,EST032,TA,1018,3a,07:30 - 09:10,5a,07:30 - 09:10
PROBABILIDADE,EST032,TE,1024,3a,20:55 - 22:35,5a,19:00 - 20:40
PROBABILIDADE,EST032,TM,1018,3a,13:00 - 14:40,5a,13:00 - 14:40
ANALISE DE REGRESSAO,EST035,TTTB,2059,2a,09:25 - 11:05,4a,09:25 - 11:05
PLANEJAMENTO DE EXPERIMENTOS,EST036,TB,2030,2a,09:25 - 11:05,4a,09:25 - 11:05
PROCESSOS ESTOCASTICOS,EST039,TTAA,2059,2a,07:30 - 09:10,4a,07:30 - 09:10
PROBABILIDADE E PROCESSOS ESTOCASTICOS,EST045,TA,1024,2a,07:30 - 09:10,4a,07:30 - 09:10
INTRODUCAO AO SEGURO E PREVIDENCIA,EST046,TA,2059,3a,07:30 - 09:10,5a,07:30 - 09:10
TECNICA ATUARIAIS II,EST049,TB,2007,3a,09:25 - 11:05,5a,09:25 - 11:05
TARIFACAO DE SEGUROS,EST052,TB,2024 EST,2a,09:25 - 11:05,6a,07:30 - 09:10
MODELOS LINEARES GENERALIZADOS,EST079,TA,2024 EST,2a,07:30 - 09:10,4a,07:30 - 09:10
ESTATISTICA NAO PARAMETRICA,EST080,B,1015,3a,09:25 - 11:05,5a,09:25 - 11:05
BIOESTATISTICA BASICA F,EST083,TB1,1025,6a,09:25 - 11:05
BIOESTATISTICA BASICA F,EST083,TB2,1026,6a,09:25 - 11:05
BIOESTATISTICA BASICA F,EST083,TE,1021,5a,19:00 - 20:40
BIOESTATISTICA BASICA F,EST083,TF,1015,6a,19:00 - 20:40
BIOESTATISTICA,EST141,TM,1012,2a,14:00 - 17:35
TE - TOP.EST: ESTATISTICA ESPACIAL,EST171,TTEA,2031,2a,07:30 - 09:10,4a,07:30 - 09:10
TE: TOPICOS EM ESTATISTICA ANALISE DE DADOS LONGITUDINAIS,EST171,TTEB,2031,2a,09:25 - 11:05,4a,09:25 - 11:05
TE: INFERENCIA ESTATISTICA COM ABORDAGEM BAYESIANA,EST171,TTEC,2024 EST,3a,07:30 - 09:10,5a,07:30 - 09:10
TE - CONTROLE DE QUALIDADE,EST171,TTED,1018,3a,09:25 - 11:05,5a,09:25 - 11:05
INTRODUCAO A BIOESTATISTICA,EST179,TA,1012,3a,07:30 - 09:10,5a,07:30 - 09:10
INTRODUCAO A BIOESTATISTICA,EST179,TE,1016,3a,19:00 - 20:40,5a,20:55 - 22:35
INTRODUCAO A BIOESTATISTICA,EST179,TM,1015,2a,13:30 - 15:10,4a,13:30 - 15:10
DESCRICAO E APRESENTACAO DE DADOS,EST183,TA,1017,3a,07:30 - 09:10,5a,07:30 - 09:10
INICIACAO A ESTATISTICA,EST184,TB,1015,2a,09:25 - 11:05,4a,09:25 - 11:05,6a,09:25 - 11:05
SEMINARIOS II,EST189,PA,2007,6a,09:25 - 11:05
ESTATISTICA,EST612,TB,1011,2a,10:00 - 11:40
TOPICOS EM DEMOGRAFIA - R PARA CIENCIAS ATUARIAIS,POP004,TA,2031,3a,07:30 - 09:10,5a,07:30 - 09:10,
