DISCIPLINA,CÓDIGO,TURMA,SALA,HORÁRIO
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TA1,1016,2a,07:30 - 09:10,4a,07:30 - 09:10,6a,07:30 - 09:10
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TA2,2054,2a,07:30 - 09:10,4a,07:30 - 09:10,6a,07:30 - 09:10
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TA3,1012,2a,07:30 - 09:10,4a,07:30 - 09:10,6a,07:30 - 09:10
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TA4,2010,2a,07:30 - 09:10,4a,07:30 - 09:10,6a,07:30 - 09:10
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TB1,1016,2a,09:25 - 11:05,4a,09:25 - 11:05,6a,09:25 - 11:05
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TB2,2054,2a,09:25 - 11:05,4a,09:25 - 11:05,6a,09:25 - 11:05
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TB3,1012,2a,09:25 - 11:05,4a,09:25 - 11:05,6a,09:25 - 11:05
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TD,CAD1. AUD.2A,2a,11:10 - 12:50,4a,11:10 - 12:50,6a,11:10 - 12:50
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TE1,1016,2a,19:00 - 20:40,4a,20:55 - 22:35,6a,19:00 - 20:40
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TE2,AUD. 2,2a,19:00 - 20:40,4a,20:55 - 22:35,6a,19:00 - 20:40
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TF1,1016,2a,20:55 - 22:35,4a,19:00 - 20:40,6a,20:55 - 22:35
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TF2,AUD. 2,2a,20:55 - 22:35,4a,19:00 - 20:40,6a,20:55 - 22:35
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TM1,CAD1 - 312,2a,13:00 - 14:40,4a,13:00 - 14:40,6a,13:00 - 14:40
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TM2,CAD1 - 313,2a,13:00 - 14:40,4a,13:00 - 14:40,6a,13:00 - 14:40
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TM3,2035,2a,13:00 - 14:40,4a,13:00 - 14:40,6a,13:00 - 14:40
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TM4,1014,2a,13:00 - 14:40,4a,13:00 - 14:40,6a,13:00 - 14:40
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TN1,1016,2a,14:55 - 16:35,4a,14:55 - 16:35,6a,14:55 - 16:35
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TN2,CAD1 - 312,2a,14:55 - 16:35,4a,14:55 - 16:35,6a,14:55 - 16:35
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TN3,CAD1 - 313,2a,14:55 - 16:35,4a,14:55 - 16:35,6a,14:55 - 16:35
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TZ,1023,2a,17:00 - 18:40,4a,17:00 - 18:40,6a,17:00 - 18:40
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,TZ1 E TZ2,CAD1. AUD.2A,2a,17:00 - 18:40,4a,17:00 - 18:40,6a,17:00 - 18:40
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TA1,AUD. 2,2a,07:30 - 09:10,4a,07:30 - 09:10
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TA2.,1019,2a,07:30 - 09:10,4a,07:30 - 09:10
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TB1,AUD. 2,2a,09:25 - 11:05,4a,09:25 - 11:05
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TB2,1019,2a,09:25 - 11:05,4a,09:25 - 11:05
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TE,1012,2a,19:00 - 20:40,4a,20:55 - 22:35
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TF,1012,2a,20:55 - 22:35,4a,19:00 - 20:40
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TM1,AUD. 2,2a,13:00 - 14:40,4a,13:00 - 14:40
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TM2.,1023,2a,13:00 - 14:40,4a,13:00 - 14:40
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TN1,1023,2a,14:55 - 16:35,4a,14:55 - 16:35
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TN2,AUD. 2,2a,14:55 - 16:35,4a,14:55 - 16:35
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,TZ,2060,2a,17:00 - 18:40,4a,17:00 - 18:40
EQUACOES DIFERENCIAIS A,MAT015,TA,AUD. 2,3a,07:30 - 09:10,5a,07:30 - 09:10
EQUACOES DIFERENCIAIS A,MAT015,TB1,1012,3a,09:25 - 11:05,5a,09:25 - 11:05
EQUACOES DIFERENCIAIS A,MAT015,TB2,1019,3a,09:25 - 11:05,5a,09:25 - 11:05
EQUACOES DIFERENCIAIS A,MAT015,TE,1012,3a,19:00 - 20:40,5a,20:55 - 22:35
EQUACOES DIFERENCIAIS A,MAT015,TF.,1019,3a,20:55 - 22:35,5a,19:00 - 20:40
EQUACOES DIFERENCIAIS A,MAT015,TM,1019,3a,13:00 - 14:40,5a,13:00 - 14:40
EQUACOES DIFERENCIAIS A,MAT015,TN,1012,3a,14:55 - 16:35,5a,14:55 - 16:35
EQUACOES DIFERENCIAIS B,MAT016,TA,AUD. 4 FIS,2a,07:30 - 09:10,4a,07:30 - 09:10
EQUACOES DIFERENCIAIS B,MAT016,TB.,AUD. 4 FIS,2a,09:25 - 11:05,4a,09:25 - 11:05
EQUACOES DIFERENCIAIS B,MAT016,TF,CAD1 - 310,2a,20:55 - 22:35,4a,19:00 - 20:40
EQUACOES DIFERENCIAIS B,MAT016,TM.,CAD1 - 309,2a,13:00 - 14:40,4a,13:00 - 14:40
EQUACOES DIFERENCIAIS B,MAT016,TN,2035,2a,14:55 - 16:35,4a,14:55 - 16:35
MATEMATICA A,MAT020,TE,CAD1 - 313,2a,19:00 - 20:40,4a,19:00 - 20:40
MATEMATICA A,MAT020,TG,2032,2a,19:00 - 20:40,6a,19:00 - 20:40
HISTORIA DA MATEMATICA,MAT025,TM,2010,3a,13:00 - 14:40,5a,13:00 - 14:40
FUNDAMENTOS DE ALGEBRA,MAT028,TM,2009,3a,13:00 - 14:40,5a,13:00 - 14:40,6a,13:00 - 14:40
